1|10|3|[3, 8, 2011]|[9, 7, 2013]|None
2|16|14|[8, 12, 2010]|[18, 5, 2011]|None
3|16|14|[21, 6, 2010]|[5, 7, 2011]|None
4|5|14|[27, 12, 2012]|[6, 2, 2013]|None
5|9|7|[11, 11, 2013]|[11, 8, 2015]|None
6|17|17|[15, 10, 2012]|[27, 7, 2014]|None
7|3|12|[6, 12, 2011]|[28, 3, 2012]|None
8|13|14|[21, 7, 2010]|[2, 8, 2011]|None
9|2|15|[12, 9, 2011]|[12, 4, 2013]|None
10|5|12|[2, 7, 2011]|[19, 11, 2012]|None
11|2|6|[4, 10, 2013]|[26, 3, 2015]|None
12|2|19|[15, 9, 2010]|[20, 4, 2012]|None
13|18|3|[24, 4, 2012]|[29, 11, 2013]|None
14|7|8|[18, 11, 2010]|[6, 4, 2011]|None
15|8|4|[29, 12, 2012]|[6, 10, 2014]|None
16|12|13|[2, 5, 2014]|[8, 10, 2016]|None
17|17|2|[4, 8, 2010]|[8, 4, 2012]|None
18|7|11|[17, 11, 2012]|[1, 5, 2014]|None
19|1|2|[27, 5, 2012]|[26, 9, 2013]|None
20|3|19|[29, 3, 2011]|[1, 7, 2012]|[8, 7, 2012]
